rank ,name ,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
315,Vistra,12077.0,5.5,1274.0,-300.3,29683.0,10434.7,-41.0,5060.0
316,State Street,12030.0,-0.4,2693.0,11.3,314624.0,31891.8,-64.0,38784.0
317,Unum Group,12013.8,-8.7,824.2,3.9,70115.6,6382.8,-87.0,10200.0
318,Alleghany,12004.1,34.9,1034.9,917.1,32268.7,11396.1,21.0,13313.0
319,Boston Scientific,11888.0,19.9,1041.0,,32229.0,63310.2,-14.0,41000.0
320,Westlake,11778.0,57.0,2015.0,510.6,18459.0,15785.4,68.0,14550.0
321,Entergy,11742.9,16.1,1118.5,-19.4,59454.2,23760.4,-21.0,12369.0
322,International Flavors & Fragrances,11656.0,129.3,270.0,-25.7,39658.0,33455.6,200.0,24000.0
323,DaVita,11618.8,0.6,978.5,26.5,17121.5,10892.5,-52.0,69000.0
324,Mutual of Omaha Insurance,11459.3,3.3,579.0,-17.1,49852.7,,-42.0,5739.0
325,Assurant,11410.0,13.0,1372.4,210.6,33911.5,10493.1,-23.0,15600.0
326,Liberty Media,11400.0,21.8,398.0,,44351.0,15239.1,0.0,6886.0
327,Hormel Foods,11386.2,18.5,908.8,0.1,12696.3,28089.2,-10.0,20000.0
328,Icahn Enterprises,11328.0,85.0,518.0,,27746.0,15237.1,125.0,19536.0
329,Republic Services,11295.0,11.2,1290.4,33.4,24955.0,41841.7,-32.0,35000.0
330,Mohawk Industries,11200.6,17.3,1033.2,100.4,14224.5,8081.8,-9.0,43000.0
331,Conagra Brands,11184.7,1.2,1298.8,54.6,22195.6,16103.5,-48.0,18600.0
332,Norfolk Southern,11142.0,13.8,3005.0,49.3,38493.0,68389.3,-25.0,18100.0
333,AES,11141.0,15.3,409.0,-989.1,32963.0,17172.1,-20.0,8450.0
334,AGCO,11138.3,21.7,897.0,110.0,9182.1,10885.3,-3.0,23300.0
335,Caesars Entertainment,11110.0,219.8,1019.0,,38031.0,16564.6,340.0,49000.0
336,Equitable Holdings,11036.0,-11.1,439.0,,292262.0,12041.2,-92.0,10000.0
337,Advance Auto Parts,10998.0,8.8,616.1,25.0,12194.2,12644.8,-36.0,54500.0
338,Biogen,10981.7,-18.3,1556.1,-61.1,23877.3,30950.4,-110.0,9610.0
339,Auto-Owners Insurance,10980.2,24.0,1318.4,59.0,32487.1,,2.0,6441.0
340,Booking Holdings,10958.0,61.2,1165.0,1874.6,23641.0,96022.7,84.0,20199.0
341,Amphenol,10876.3,26.5,1590.8,32.2,14678.4,45130.1,8.0,90000.0
342,Quest Diagnostics,10788.0,14.3,1995.0,39.4,13611.0,16348.6,-18.0,44500.0
343,FirstEnergy,10758.0,3.1,1283.0,18.9,45432.0,26181.6,-49.0,12395.0
344,DCP Midstream,10707.0,69.9,391.0,,13380.0,6993.2,98.0,1788.0
345,Ally Financial,10690.0,-0.8,3060.0,182.0,182114.0,14411.6,-58.0,10500.0
346,Delek US Holdings,10648.2,45.8,203.5,,6728.0,1500.2,51.0,3312.0
347,Williams,10627.0,37.7,1517.0,619.0,47612.0,40670.4,32.0,4783.0
348,Newell Brands,10589.0,12.8,572.0,,14179.0,8902.4,-23.0,32000.0
349,Eastman Chemical,10476.0,23.6,857.0,79.3,15519.0,14450.1,6.0,14000.0
350,Air Products & Chemicals,10323.0,16.6,2099.1,11.3,26859.2,55409.4,-10.0,20750.0
